name,price,core_count,boost_clock,tdp,smt
AMD Ryzen 5 5600X,159.99,6,4.6,65,TRUE
AMD Ryzen 7 7800X3D,369.99,8,5,120,TRUE
Intel Core i7-13700K,364.99,16,5.4,125,TRUE
AMD Ryzen 7 5800X,210.49,8,4.7,105,TRUE
Intel Core i9-13900K,569.99,24,5.8,125,TRUE
AMD Ryzen 5 7600X,244,6,5.3,105,TRUE
AMD Ryzen 5 7600,226.99,6,5.1,65,TRUE
Intel Core i5-12400F,149.97,6,4.4,65,TRUE
AMD Ryzen 5 5600,134,6,4.4,65,TRUE
Intel Core i5-13600K,308.98,14,5.1,125,TRUE
AMD Ryzen 7 7700X,310,8,5.4,105,TRUE
AMD Ryzen 5 3600,84.99,6,4.2,65,TRUE
AMD Ryzen 5 5500,,6,4.2,65,TRUE
Intel Core i5-12600K,218.24,10,4.9,125,TRUE
AMD Ryzen 7 5700X,174.99,8,4.6,65,TRUE
AMD Ryzen 9 7950X3D,657,16,5.7,120,TRUE
AMD Ryzen 7 5800X3D,304.38,8,4.5,105,TRUE
Intel Core i7-12700K,289.93,12,5,125,TRUE
AMD Ryzen 5 5600G,124,6,4.4,65,TRUE
Intel Core i3-12100F,94.48,4,4.3,58,TRUE
Intel Core i5-13600KF,279.99,14,5.1,125,TRUE
AMD Ryzen 9 5900X,343.99,12,4.8,105,TRUE
AMD Ryzen 9 7900X,407.11,12,5.6,170,TRUE
Intel Core i5-13400F,199.99,10,4.6,65,TRUE
Intel Core i9-13900KS,724,24,6,150,TRUE
Intel Core i9-12900K,379.63,16,5.2,125,TRUE
Intel Core i5-12600KF,196.24,10,4.9,125,TRUE
AMD Ryzen 7 5700G,175,8,4.6,65,TRUE
Intel Core i7-12700KF,281.89,12,5,125,TRUE
AMD Ryzen 5 4500,79,6,4.1,65,TRUE
AMD Ryzen 9 7950X,551.51,16,5.7,170,TRUE
AMD Threadripper 3990X,4155,64,4.3,280,TRUE
Intel Core i7-13700KF,379.99,16,5.4,125,TRUE
AMD Ryzen 7 3700X,219,8,4.4,65,TRUE
AMD Ryzen 7 7700,295,8,5.3,65,TRUE
Intel Core i9-13900KF,536.14,24,5.8,125,TRUE
Intel Core i5-13500,247.98,14,4.8,65,TRUE
Intel Core i5-10400F,108.49,6,4.3,65,TRUE
Intel Core i3-13100F,110.99,4,4.5,58,TRUE
AMD Ryzen 5 4600G,99,6,4.2,65,TRUE
AMD Ryzen 9 7900X3D,499,12,5.6,120,TRUE
AMD Ryzen 9 5950X,471.5,16,4.9,105,TRUE
AMD Ryzen 3 4100,64.2,4,4,65,TRUE
Intel Core i5-12400,167,6,4.4,65,TRUE
