name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 HERO,40.99,Optical,Wired,25600,Right,Black
Logitech G Pro X Superlight,129.99,Optical,Wireless,25400,Right,Black
Logitech G305 (Black),47.99,Optical,Wireless,12000,Right,Black
FinalMouse Air58 Ninja,549.99,Optical,Wired,3200,Right,Blue
Razer Basilisk V3,49.87,Optical,Wired,26000,Right,Black
Logitech G203 Lightsync,26.44,Optical,Wired,8000,Right,Black
Logitech G502 LIGHTSPEED,102.99,Optical,Wireless,25600,Right,Black
Logitech B100,7.99,Optical,Wired,800,,Black
Logitech G Pro X Superlight,129.99,Optical,Wireless,25400,Right,White
Logitech G Pro Wireless,111.99,Optical,Wireless,25600,Both,Black
Razer Basilisk X HyperSpeed,44.98,Optical,Wireless,16000,Right,Black / Green
Logitech G502 X Plus,159.99,Optical,"Wired, Wired, Wireless",25600,Right,Black
SteelSeries Rival 3,29.99,Optical,Wired,8500,Right,Black
Glorious Model O,79.98,Optical,Wireless,19000,Right,White
Logitech G305 (White),49.72,Optical,Wireless,12000,Right,White
Logitech PRO X Superlight 2,159,Optical,"Wired, Wireless",32000,Right,Black
Razer DeathAdder Essential,23.8,Optical,Wired,6400,Right,White
Logitech G700s,450,Laser,Wireless,8200,Right,Black
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer DeathAdder V2,,Optical,Wired,20000,Right,Black
Corsair M65 RGB ELITE,37.25,Optical,Wired,17997,Right,Black
Razer Viper Ultimate w/Dock,93.99,Optical,Wireless,20000,Both,Black
Logitech G502 X Plus,158.56,Optical,"Wired, Wired, Wireless",25600,Right,White
Verbatim 98616 Go Mini Travel Commuter,10.3,Optical,Wired,,Both,Blue
Razer DeathAdder V3 Pro,124.99,Optical,Wireless,30000,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000,Right,Black
Razer Viper V2 Pro,120.05,Optical,Wireless,30000,Right,Black
Logitech PRO X Superlight 2,159,Optical,"Wired, Wireless",32000,Right,White
Razer Basilisk V3 Pro,126.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000,Right,Gray
Redragon COBRA M711,19.98,Optical,Wired,10000,Right,Black / Multicolor
Logitech M90,8,Optical,Wired,1000,Both,Black
Logitech G402,24.36,Optical,Wired,4000,Right,Black
Logitech Anywhere Mouse MX,149,Laser,Wireless,,Both,Black
Corsair NIGHTSWORD RGB,68.98,Optical,Wired,18000,Right,Black
Logitech G305 LIGHTSPEED,64.97,Optical,Wireless,12000,Right,Black
Razer Viper 8KHz,49.99,Optical,Wired,20000,Both,Black
Logitech G203 Lightsync,23.89,Optical,Wired,8000,Right,White
Logitech G502 Proteus Spectrum,68.98,Optical,Wired,12000,Right,Black
Logitech G703 LIGHTSPEED,68.44,Optical,Wireless,25600,Right,Black
Razer Viper Mini,68,Optical,Wired,8500,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000,Right,White
Corsair DARK CORE RGB PRO SE,80.98,Optical,Wireless,18000,Right,Black
Razer DeathAdder V3,69.98,Optical,Wired,30000,Right,Black
Razer Viper V2 Pro,140.71,Optical,Wireless,30000,Right,White
Glorious Model O,93,Optical,Wireless,19000,Right,Black
Corsair Harpoon RGB,26.97,Optical,Wired,6000,Right,Black
Asus ROG Chakram X Origin,135.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION,129.99,Optical,"Wired, Wireless",36000,Right,Black
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000,Right,White
Verbatim Bravo,6.99,Optical,Wired,,Both,Black
Razer DeathAdder Essential,32.99,Optical,Wired,6400,Right,Black / Green
Logitech G502 X,119.84,Optical,"Wired, Wired, Wireless",25600,Right,Black
Razer Viper Ultimate,69.98,Optical,Wireless,20000,Both,Black
MSI CLUTCH,12.49,Optical,Wired,4200,Right,Black
Razer DeathAdder V3 Pro,148.99,Optical,Wireless,30000,Right,White
HP HyperX Pulsefire Haste,39.97,Optical,Wired,16000,Right,Black
Razer DeathAdder V2 Pro,64.99,Optical,Wireless,20000,Right,Black
Corsair M65 RGB ULTRA WIRELESS,89.99,Optical,Wireless,26000,Right,Black / Silver
Logitech G600 MMO Gaming Mouse,74.98,Laser,Wired,8200,Right,Black
Razer Naga V2 Pro,176.6,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Redragon M602,19.98,Optical,Wired,7200,Right,Black
Corsair SCIMITAR RGB ELITE,59.99,Optical,Wired,18000,Right,Black
Corsair M65 RGB ELITE,41.53,Optical,Wired,17995,Right,White
SteelSeries Aerox 9,121.92,Optical,Wireless,18000,Right,Black
SteelSeries Rival 3,34.95,Optical,Wireless,18000,Right,Black
Corsair DARK CORE RGB PRO,68.34,Optical,Wireless,18000,Right,Black
Razer Viper Ultimate,129.99,Optical,Wireless,20000,Both,White
Logitech G502 X,69,Optical,Wired,25600,Right,Black
HP HyperX Pulsefire Core RGB,19.98,Optical,Wired,6200,Right,Black
Razer DeathAdder V2 X HyperSpeed,44.99,Optical,"Wireless, Bluetooth Wireless",14000,Right,Black
Razer Basilisk V3 Pro,145,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White / Black
SteelSeries Rival 5,45.96,Optical,Wired,18000,Right,Black
Corsair HARPOON RGB,44.99,Optical,Wireless,10000,Right,Black
SteelSeries Aerox 3,,Optical,Bluetooth Wireless,18000,Right,Black
Razer Naga Trinity,78.4,Optical,Wired,16000,Right,Black
Verbatim 98113,7.55,Optical,Wired,,Both,Black
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000,Right,Black
Razer DeathAdder Essential,24.54,Optical,Wired,6400,Right,Black / Green
Corsair NIGHTSABRE RGB,149.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech M100,9.99,Optical,Wired,1000,Both,Black
Logitech MX Master 3,96.98,Laser,Wireless,4000,Right,Black / Silver
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000,Right,White
Razer Naga Chroma,264.94,Laser,Wired,16000,Right,Black
Razer Mamba Elite,37.95,Optical,Wired,16000,Right,Black
Logitech G403 HERO,49.99,Optical,Wired,25600,Right,Black / Blue
SteelSeries Rival 650 Wireless,57.99,Optical,Wireless,12000,Right,Black
Asus TUF Gaming M3,19.99,Optical,Wired,7000,Right,Black
Glorious MODEL D,47.99,Optical,Wired,12000,Right,Black
Logitech G903 HERO,117.99,Optical,Wireless,25600,Both,Black
Razer Naga Pro,96.1,Optical,Wireless,20000,Right,Black
Corsair DARKSTAR,149.99,Optical,"Wireless, Bluetooth Wireless",26000,Right,Black
Corsair SABRE RGB PRO CHAMPION SERIES,43.99,Optical,Wired,18000,Right,Black
Corsair M65 RGB ULTRA,60.99,Optical,Wired,26000,Right,Black / Silver
Logitech MX MASTER 3S,91.99,Optical,Wireless,8000,Right,Black
Logitech G502 X,54.99,Optical,Wired,25600,Right,White
Asus P707 ROG SPATHA X,109.99,Optical,Wireless,19000,Right,Black
Logitech G Pro X Superlight,129.99,Optical,Wireless,25400,Right,Pink
SteelSeries Rival 600,46,Optical,Wired,12000,Right,Black
Redragon M908 IMPACT MMO,33.82,Optical,Wired,12400,Right,Black
Logitech MX MASTER 2S (Black),65.5,Laser,Wireless,4000,Right,Black
Glorious MODEL D,49.99,Optical,Wired,12000,Right,White
Razer Viper Ultimate w/Dock,109.52,Optical,Wireless,20000,Both,Pink
