name,price,size,color,rpm,airflow,noise_level,pwm
Corsair iCUE SP120 RGB ELITE 3-Pack,69.98,120,Black / White,"[400,1500]",,,TRUE
Noctua NF-A12x25 PWM chromax.black.swap,34.95,120,Black,"[450,2000]",60.09,22.6,TRUE
Lian Li Uni Fan SL-Infinity 3-Pack,84.99,120,Black,,,,TRUE
Lian Li Uni Fan SL-Infinity 3-Pack,81.5,120,White,,,,TRUE
ARCTIC P12 PST 5-Pack,29.99,120,Black,"[200,1800]",56.3,22.5,TRUE
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,159.99,120,Black,"[480,2400]",,,TRUE
Lian Li UNI FAN SL V2 3-Pack,79.99,120,Black / Silver,"[250,2000]",64.5,29.2,TRUE
Lian Li UNI FAN SL V2 3-Pack,82.99,120,White / Silver,"[250,2000]",64.5,29.2,TRUE
Lian Li Uni Fan SL-Infinity,29.99,120,Black,,,,TRUE
Thermalright TL-C12C-S 3-Pack,13.9,120,Black,,66.17,25.6,TRUE
Noctua A14 PWM chromax.black.swap,26.95,140,Multicolor,"[300,1500]",82.52,24.6,TRUE
Noctua A12x25 PWM,32.95,120,Brown,"[450,2000]",,,TRUE
ARCTIC P12,9.99,120,Black,"[200,1800]",56.3,,TRUE
Lian Li Uni Fan SL-Infinity,29.99,120,White,,,,TRUE
Thermalright TL-C12C 3-Pack,12.9,120,Black,,66.17,25.6,TRUE
Corsair iCUE SP RGB ELITE 3-Pack,64.98,120,White,"[400,1500]",47.73,28,TRUE
Corsair iCUE SP120 RGB ELITE,19.98,120,Black / White,"[400,1500]",,,TRUE
be quiet! Pure Wings 2,9.9,120,Black,"[500,1500]",,20.2,TRUE
be quiet! Silent Wings Pro 4,24,120,Black,,83.9,36.9,TRUE
Noctua P12 redux-1700 PWM,15.95,120,Gray,"[450,1700]",70.75,25.1,TRUE
Corsair iCUE AF120 RGB ELITE 3-Pack,74.98,120,Black,"[550,2100]",,,TRUE
NZXT F120 RGB 3-Pack,77.33,120,White,"[500,1800]",,,TRUE
Deepcool FC120-3 IN 1 3-Pack,34.99,120,Black,"[500,1800]",61.91,28,TRUE
Thermalright TL-C12C-S 3-Pack,14.59,120,White,,66.17,25.6,TRUE
Lian Li UNI FAN SL V2,26.99,120,Black / Silver,"[250,2000]",64.5,29.2,TRUE
Noctua A14 PWM,23.95,140,Brown,"[300,1500]",,,TRUE
Corsair LL120 3-Pack,82.99,120,Black,"[600,1500]",43.25,24.8,TRUE
NZXT F120 RGB 3-Pack,,120,Black,"[500,1800]",,,TRUE
Lian Li Uni Fan SL-Infinity,29.99,140,Black,"[200,1600]",72.7,28,TRUE
ARCTIC P12 PST A-RGB 0dB 3-Pack,42.99,120,Black,,48.8,,TRUE
ARCTIC P12 Max,9.99,120,Black,"[200,3300]",,,TRUE
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,156.99,120,White,"[480,2400]",,,TRUE
Noctua F12 industrialPPC-3000 PWM,27.95,120,Brown / Black,"[750,3000]",109.89,43.5,TRUE
Lian Li UNI FAN SL-INF Reverse Blade,29.99,120,White / Black,"[200,2100]",63.6,32,TRUE
ARCTIC P14 PST,11.51,140,Black,"[200,1700]",72.8,22.5,TRUE
Noctua A14 industrialPPC-3000 PWM,29.95,140,Brown / Black,"[800,3000]",158.5,41.3,TRUE
Lian Li UNI SL120 3-Pack,85.43,120,White,"[800,1900]",58.54,,TRUE
NZXT F120 RGB Core,21.99,120,Black,"[500,1800]",78.86,33.88,TRUE
be quiet! Silent Wings Pro 4,29.9,140,Black,,97.41,36.8,TRUE
Lian Li UNI FAN SL V2,20.83,120,White / Silver,"[250,2000]",64.5,29.2,TRUE
NZXT F120 RGB Core,,120,White,"[500,1800]",78.86,33.88,TRUE
Lian Li Uni Fan SL-Infinity,29.7,140,White,"[200,1600]",72.7,28,TRUE
Corsair LL120 3-Pack,82.86,120,White,,63,36,TRUE
ARCTIC P12 PST,10.49,120,White,"[200,1800]",56.3,,TRUE
Lian Li UNI FAN SL V2,24.99,140,Black / Silver,"[250,1600]",77.6,29,TRUE
Deepcool FK120 3-Pack,,120,,"[500,1850]",68.99,28,TRUE
Deepcool FC120 WHITE-3 IN 1 3-Pack,49.99,120,White,"[500,1800]",61.91,28,TRUE
Cooler Master MasterFan MF Halo 3-Pack,66.98,120,Black,"[650,1800]",47.2,,TRUE
Phanteks D30-120 3-Pack,89.99,120,Black,"[250,2000]",64.3,30.2,TRUE
Noctua F12 PWM,21.78,120,Brown,"[300,1500]",,,TRUE
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,139.99,140,Black,"[400,2000]",,,TRUE
NZXT F120 RGB DUO 3-Pack,93.99,120,Black,"[500,1800]",48.58,29,TRUE
Corsair iCUE ML RGB ELITE Premium 3-Pack,51.99,120,Black,"[450,2000]",,,TRUE
Lian Li UNI FAN SL-INF Reverse Blade,,120,White,"[200,2100]",63.6,32,TRUE
Noctua A12x15 PWM chromax.black.swap,26.95,120,Black / Multicolor,"[450,1850]",55.44,23.9,TRUE
Corsair iCUE QL120 3-Pack,118.99,120,Black,,41.8,26,TRUE
ARCTIC P14 PST 5-Pack,40.99,140,Black,"[200,1700]",72.8,22.5,TRUE
Phanteks PH-F120T30 3-Pack,86.98,120,Black / Gray,,67,27.3,TRUE
Lian Li UNI SL120 3-Pack,84.74,120,Black,"[800,1900]",58.54,,TRUE
Cooler Master SickleFlow 3-Pack,65.18,120,Black,"[650,1800]",62,,TRUE
Phanteks D30-120 Reversed 3-Pack,89.99,120,Black,"[250,2000]",61.5,31.8,TRUE
be quiet! Pure Wings 2,9.9,140,Black,"[400,1000]",61.2,19.8,TRUE
be quiet! Light Wings PWM high-speed 3-Pack,74.9,120,Black,,52.3,31,TRUE
Corsair iCUE AF120 RGB ELITE 3-Pack,89.99,120,White,"[550,2100]",,,TRUE
Lian Li UNI FAN AL120 V2 3-Pack,72.99,120,Black,"[250,2000]",77.3,28.7,TRUE
Corsair AF120 ELITE,19.98,120,Black,"[400,1850]",,31.5,TRUE
NZXT F120 RGB,30.99,120,White,"[500,1800]",,,TRUE
Phanteks D30-120 3-Pack,89.99,120,White,"[250,2000]",64.3,30.2,TRUE
Lian Li UNI FAN P28 3-Pack,59.89,120,Black,"[200,2600]",,,TRUE
Phanteks D30-120 Reversed 3-Pack,89.99,120,White,"[250,2000]",61.5,31.8,TRUE
Phanteks PH-F120T30,33.98,120,Black / Gray,,67,27.3,TRUE
ARCTIC P12 5-Pack,23.99,120,Black,,56.3,,FALSE
Noctua F12 PWM chromax.black.swap,24.75,120,Multicolor,"[300,1500]",54.97,22.4,TRUE
Cooler Master SickleFlow,19.07,120,Black,"[650,1800]",62,,TRUE
NZXT F140 RGB 2-Pack,63.99,140,Black,"[500,1800]",,,TRUE
ARCTIC P12,8.77,120,Black / Transparent,"[200,1800]",56.3,22.5,TRUE
Corsair LL120,24.99,120,Black,"[600,1500]",43.25,24.8,TRUE
Phanteks D30-120,33.98,120,Black,"[250,2000]",64.3,30.2,TRUE
NZXT F120P,20.99,120,Black,"[500,1800]",,,TRUE
NZXT F120 RGB DUO,32.99,120,Black,"[500,1800]",48.58,29,TRUE
ARCTIC P12 Slim PWM PST,9.49,120,Black,"[300,2100]",41.1,22.5,TRUE
Thermalright TL-C12C,6.59,120,Black,,66.17,25.6,TRUE
Asus TUF Gaming TF120 ARGB 3-Pack,42.99,120,Black / White,"[250,1900]",76,29,TRUE
Corsair iCUE SP RGB ELITE,24.99,120,White,"[400,1500]",47.73,28,TRUE
Corsair SP120 ELITE,14.99,120,Black,"[300,1300]",,,TRUE
ARCTIC P12 PST A-RGB 0dB,14.99,120,Black,,48.8,,TRUE
Fractal Design Silent R2,,120,White,,40.6,15,FALSE
Cooler Master SickleFlow,10.99,120,Black,"[650,1800]",62,,TRUE
Deepcool FC120,16.98,120,Black,"[500,1800]",,,TRUE
Corsair AF140L,4.99,140,Black / Gray,,67.43,,FALSE
ARCTIC P Slim PST 3-Pack,21.99,120,Black,"[300,2100]",42.1,22.5,TRUE
Noctua S12A PWM chromax.black.swap,22.9,120,Multicolor,"[300,1200]",63.27,17.8,TRUE
Noctua S12B redux-1200 PWM,14.95,120,Black / Gray,"[400,1200]",59.1,18.1,TRUE
Lian Li UNI FAN AL120 V2 3-Pack,74,120,White,"[250,2000]",77.3,28.7,TRUE
Corsair iCUE SP140 RGB ELITE 2-Pack,69.98,140,Black / White,"[405,1200]",,,TRUE
NZXT F120 RGB DUO 3-Pack,114,120,White,"[500,1800]",48.58,29,TRUE
Corsair AF120 (2018) 3-Pack,41.1,120,Black / White,,52,26,FALSE
Thermalright TL-C12RW-S V2,6.99,120,Black / White,,58,25.6,TRUE
Corsair iCUE QL120 3-Pack,105.99,120,White / Black,"[525,1500]",41.8,26,TRUE
NZXT F120 RGB,30.99,120,Black,"[500,1800]",,,TRUE
Lian Li UNI FAN SL V2,25.58,140,White / Silver,"[250,1600]",77.6,29,TRUE
NZXT AER RGB 2,,120,Black,"[500,1500]",,,TRUE
Noctua A12x15 PWM,21.95,120,Brown,"[450,1850]",,,TRUE
Noctua P14s redux-1500 PWM,16.95,140,Black / Gray,"[450,1500]",78.69,25.8,TRUE
ARCTIC P14 PWM PST A-RGB,17.96,140,Black,,,,TRUE
Phanteks D30-120,33.98,120,White,"[250,2000]",64.3,30.2,TRUE
Phanteks D30-120 Reversed,33.98,120,Black,"[250,2000]",61.5,31.8,TRUE
Lian Li UNI FAN AL120 V2,19.99,120,Black,"[250,2000]",77.3,28.7,TRUE
ARCTIC P12,8.49,120,Black,,56.3,,FALSE
be quiet! Silent Wings 4,19.89,140,Black,,51.3,13.6,TRUE
Cooler Master SickleFlow 120 ARGB 3 In 1 3-Pack,49.99,120,White,"[650,1800]",62,,TRUE
Cooler Master MasterFan MF Halo,19.98,120,Black,"[650,1800]",47.2,,TRUE
Thermalright TL-S12 X3 3-Pack,16.89,120,Black,,47.6,23.2,TRUE
NZXT F120Q,14.99,120,Black,"[500,1200]",,,TRUE
Noctua A8 PWM,16.95,80,Brown,"[450,2200]",,,TRUE
be quiet! Light Wings PWM high-speed 3-Pack,79.9,140,Black,,71.7,31,TRUE
Cooler Master MasterFan MF Halo 3-Pack,71.98,120,White,"[650,1800]",47.2,,TRUE
upHere T7SYC7 6-Pack,43.99,120,Black,"[600,1700]",,,TRUE
Thermalright TL-S12W X3 3-Pack,17.29,120,White,,47.6,23.2,TRUE
Lian Li UNI SL120,30.19,120,White,"[800,1900]",58.54,,TRUE
Noctua A9x14 HS-PWM chromax.Black.swap,21.95,92,Black / Multicolor,"[600,2500]",33.84,23.6,TRUE
Thermaltake SWAFAN EX12 ARGB 3-Pack,79.98,120,White,"[500,2000]",,,TRUE
Corsair iCUE AF140 RGB ELITE 2-Pack,74.98,140,Black,"[500,1700]",,,TRUE
Cooler Master SickleFlow,18.98,140,Black,"[650,1400]",67,,TRUE
Lian Li UNI FAN AL120 V2,19.99,120,White,"[250,2000]",77.3,28.7,TRUE
Thermaltake TOUGHFAN 2-Pack,26.99,140,Black,"[500,2000]",119.1,,TRUE
be quiet! Silent Wings 4,26.03,120,Black,,48.7,18.9,TRUE
Noctua P14s redux-1200 PWM,16.95,140,Black / Gray,"[350,1200]",64.92,19.6,TRUE
Corsair LL120,34.99,120,White,,63,36,TRUE
Lian Li ST120 3-Pack,39.99,120,Black,"[800,1900]",69.17,32,TRUE
Fractal Design Aspect 12 RGB PWM 3-Pack,54.49,120,Black,"[500,2000]",,,TRUE
