name,Price,rpm,noise_level,color,size
Cooler Master Hyper 212 Black Edition,19.99,"[800,2000]","[6.5,26]",,
Cooler Master MASTERLIQUID ML240L RGB V2,89.49,"[650,1800]","[6,27]",Black,240
be quiet! Dark Rock Pro 4,73.9,,"[12.8,24.3]",Black,
Thermalright Peerless Assassin 120 SE,34.9,,,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,177.99,"[550,2100]","[5,34.1]",Black,360
Noctua NH-D15 chromax.black,119.95,"[300,1500]","[19.2,24.6]",Black,
NZXT Kraken Elite 360 RGB,288.69,"[500,1800]","[17.9,30.6]",White,360
ARCTIC Liquid Freezer II 360,130,"[800,2000]",,Black,360
NZXT Kraken 240,134.99,"[500,1800]","[17.9,30.6]",Black,240
Deepcool AG400 BK ARGB,29.99,"[500,2000]",,Black,
Deepcool AK400,34.99,"[500,1850]",,Black / Silver,
Noctua NH-D15,109.95,"[300,1500]","[19.2,24.6]",,
Deepcool AK620,63.99,"[500,1850]",,Black / Silver,
Corsair iCUE H100i RGB ELITE,118.99,"[400,1850]","[5,28.9]",Black,240
Corsair iCUE H150i ELITE LCD XT,249.99,"[550,2100]","[5,34.1]",Black,360
ARCTIC Liquid Freezer II 240,88.99,"[200,1800]",,Black,240
NZXT Kraken 240 RGB,179.99,"[500,1800]","[17.9,30.6]",White,240
Noctua NH-U12S chromax.black,89.95,"[300,1500]","[18.6,22.4]",Black,
Cooler Master Hyper 212 RGB Black Edition,44.99,"[650,2000]","[8,30]",,
NZXT Kraken Elite 360 RGB,288.49,"[500,1800]","[17.9,30.6]",Black,360
Thermalright Assassin X 120 Refined SE,17.89,,,Black / Silver,
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.9,,,White,
be quiet! Pure Rock 2 Black,44.9,,"[19.1,26.8]",Black,
NZXT Kraken X73,149.99,"[500,2000]","[21,36]",Black,360
Thermaltake Water 3.0 Ultimate,1223,"[1000,2000]",,,360
AMD Wraith Prism,70.59,,,,
Deepcool LT720,139.99,"[500,2250]",,Black / Gray,360
Thermalright Phantom Spirit 120 SE,37.9,,,Black / Silver,
Deepcool AK620 ZERO DARK,69.98,"[500,1850]",,Black,
ID-COOLING FROSTFLOW X,54.99,"[700,1800]","[18,35.2]",,240
Deepcool LS520 SE,89.99,"[500,2250]","[28.2,32.9]",Black,240
NZXT Kraken 360,179.99,"[500,1800]","[17.9,30.6]",Black,360
Corsair iCUE H150i ELITE CAPELLIX XT,194.99,"[550,2100]",,White,360
ID-COOLING SE-214-XT,17.98,"[500,1500]","[13.8,30.5]",Black,
Deepcool LS720,139.99,"[500,2250]",,Black,360
Corsair iCUE H100i ELITE CAPELLIX XT,154.99,"[550,2100]","[5,34.1]",Black,240
ARCTIC Liquid Freezer II 280,101.99,"[200,1700]",,Black,280
Lian Li Galahad II Trinity SL-INF,178.99,,,White,360
Noctua NH-U12A chromax.black,129.94,"[450,2000]","[18.8,22.6]",Black,
Thermalright Peerless Assassin 120 SE ARGB,,,,Black,
Deepcool AK620,69.98,"[500,1850]",,White,
Thermalright Phantom Spirit 120 SE ARGB,40.29,,,Black / Silver,
Noctua NH-L9i,44.95,"[600,2500]","[14.8,23.6]",Brown,
Lian Li Galahad II Trinity SL-INF,173.94,,,Black,360
NZXT Kraken 360 RGB,215.99,"[500,1800]","[17.9,30.6]",White,360
Thermalright Frozen Notte ARGB,53,,,Black,240
Corsair iCUE H100x RGB ELITE,,,"[7,28]",Black,240
Deepcool AK400,37.99,"[500,1850]",,White,
NZXT Kraken Elite 360,269.99,"[500,1800]","[17.9,30.6]",Black,360
ARCTIC Liquid Freezer II 360 A-RGB,149.88,"[200,1800]",,Black / Gray,360
Intel E97379-001,12.59,"[1200,2800]",,Silver / Black,
Deepcool LS720 SE,109.99,"[500,2250]","[28.2,32.9]",Black,360
Noctua NH-L9i chromax.black,54.95,"[600,2500]","[14.8,23.6]",Black,
be quiet! Pure Rock Slim 2,26.9,,"[13.1,25.4]",Black / Silver,
Asus ROG Ryujin III ARGB,339.99,"[600,2200]",,Black,360
Thermalright Assassin X Refined SE ARGB,18.89,,,Black / Silver,
Deepcool LT520,109.99,"[500,2250]",,Black / Gray,240
Corsair iCUE H100i ELITE CAPELLIX XT,164.99,"[550,2100]","[5,34.1]",White,240
Cooler Master MASTERLIQUID ML120L RGB V2,69.99,"[650,1800]","[6,27]",Black,120
ARCTIC Liquid Freezer II 420,129.99,"[200,1700]",,Black,420
Noctua NH-L12S,59.95,"[450,1850]","[16.8,23.9]",,
be quiet! Dark Rock 4,74.9,,,Black,
MSI MAG CORELIQUID 240R V2,87,"[500,2000]","[14.3,34.3]",Black,240
NZXT Kraken Z73,,"[500,1800]","[21,36]",Black,360
Corsair iCUE H150i ELITE LCD XT,254.99,"[550,2100]","[5,31.1]",White / Gray,360
Scythe Fuma 3,49.99,"[200,1500]","[4,28.6]",Black / Silver,
Noctua NH-L9i-17xx chromax.black,54.95,"[600,2500]","[14.8,23.6]",Black,
Thermalright Assassin King SE ARGB,22.9,,,White,
NZXT Kraken Z63,254.99,"[500,1800]","[21,38]",Black,280
Asus ROG RYUJIN II ARGB,586.59,,,Black,360
Deepcool AK400 ZERO DARK,39.99,"[500,1850]",,Black,
Corsair iCUE H150i RGB ELITE,179.99,"[400,1850]","[19,35.8]",Black,360
NZXT Kraken 240 RGB,179.99,"[500,1800]","[17.9,30.6]",Black,240
Vetroo V5,34.5,"[800,1700]",,Black,
Corsair iCUE H150i ELITE CAPELLIX,375,,"[10,37]",Black,360
NZXT Kraken Z73 RGB,,"[500,1500]","[22,33]",Black,360
Cooler Master Hyper 212 EVO,,"[600,2000]","[9,36]",,
MSI MAG CORELIQUID 360R V2,109.99,"[500,2000]","[14.3,34.3]",Black,360
Noctua NH-U9S chromax.black,69.95,"[400,2000]","[16.3,22.8]",Black,
Deepcool AK500 ZERO DARK,49.99,"[500,1850]","[25.9,31.5]",Black,
ARCTIC Freezer 34 eSports DUO,43.49,"[200,2100]",,White / Black,
Noctua NH-U9S,59.95,"[400,2000]","[16.3,22.8]",,
Deepcool LT720 WH,125.99,"[500,2250]",,White,360
Deepcool AK620 DIGITAL,79.98,"[500,1850]",,Black,
Corsair iCUE LINK H150i RGB,239.99,"[480,2400]",,Black,360
NZXT Kraken Z73 RGB,400.09,"[500,1500]","[22,33]",White / Black,360
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"[650,1800]","[8,27]",Black,360
Thermalright Frozen Notte ARGB,69.9,,,Black,360
