name,Price,type,interface,capacity,price_per_gb,color
Western Digital My Book Duo,1049.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,0.029,Black
Western Digital My Book Duo,829.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000,0.035,Black
Western Digital ELEMENTS,54.99,Portable,USB Type-A 3.2 Gen 1,1000,0.055,
Sabrent Rocket XTRM-Q,0,Desktop,USB Type-C 3.2 Gen 2,16000,,
Western Digital WD_BLACK P10,113.44,Portable,USB Type-A 3.2 Gen 1,5000,0.023,Black
Sabrent ROCKET XTRM,0,Portable,Thunderbolt,4000,,Silver
Western Digital ELEMENTS,159.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.02,Black
Samsung T7 Shield,129.99,Portable,USB Type-C 3.2 Gen 2,2000,0.065,Black
Western Digital easystore,239.99,Desktop,USB Type-A 3.2 Gen 1,14000,0.017,Black
Western Digital My Passport,49.97,Portable,USB Type-A 3.2 Gen 1,1000,0.05,Black
Verbatim Vx460,29.99,Portable,USB Type-A 3.2 Gen 1,128,0.234,Black
Western Digital WD_BLACK P10,79.98,Portable,USB Type-A 3.2 Gen 1,2000,0.04,Black
Corsair EX100U,276.24,Portable,USB Type-C 3.2 Gen 2x2,4000,0.069,Black
Seagate One Touch,399.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.022,Black
SanDisk G-DRIVE ArmorLock,379.99,Portable,USB Type-C 3.2 Gen 1,4000,0.095,Black / Yellow
Crucial X10 Pro,152.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.076,Black
Seagate Backup Plus Portable,105,Portable,USB Type-A 3.2 Gen 1,4000,0.026,Black
Western Digital My Book,299.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.03,Black
Western Digital My Passport,94.99,Portable,USB Type-A 3.2 Gen 1,4000,0.024,Black
SanDisk Extreme Portable V2,229.99,Portable,USB Type-C 3.2 Gen 1,4000,0.057,Black / Orange
Western Digital My Book Duo,569.49,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.028,Black
Toshiba Canvio Desk,1121.48,Desktop,USB Type-A 3.2 Gen 1,3000,0.374,
Crucial X10 Pro,260.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.065,Black
Samsung T9 Portable,399.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.1,Black
