name,price,channels,channel_wattage,pwm,form_factor
NZXT Sentry Mix 2,199.95,6,30,TRUE,5.25
Thermaltake Commander FT,54.98,5,10,TRUE,5.25
Kingwin FPX-001,15.99,4,8,FALSE,3.5
Thermaltake Commander F6 RGB,0,6,0.03,TRUE,5.25
Thermaltake AC-001-BN1NAN-A1,0,5,8,TRUE,5.25
NZXT SENTRY 3,0,5,15,TRUE,5.25
Lamptron FC-CF525-BK,0,5,60,TRUE,5.25
Lamptron FC6,0,4,10,TRUE,5.25
Lamptron FC2,0,6,45,TRUE,5.25
Deepcool ROCK MASTER V3.0,0,4,10,TRUE,5.25
Lamptron Fanatic,0,5,60,TRUE,5.25
BitFenix Recon (Black),0,5,10,TRUE,5.25
BitFenix Recon (White),0,5,10,TRUE,5.25
Lamptron FC-FC5V3-BK,0,6,30,TRUE,5.25
NZXT Sentry LX,0,5,6,FALSE,
Lamptron FC-FANATIC-B,0,5,60,TRUE,5.25
Kingwin FPX-005,0,5,8,TRUE,5.25
Silverstone FP59B,0,1,,FALSE,5.25
Lamptron FC-FC5V2-B,69.95,4,30,FALSE,5.25
NZXT Sentry 2,0,5,10,FALSE,5.25
Lamptron FC9,0,4,50,TRUE,5.25
Lamptron FC Touch,0,6,30,TRUE,5.25
Lamptron FC-FC2-B,0,6,45,FALSE,5.25
Aerocool CoolTouch-R Black,0,4,20,TRUE,5.25
Aerocool F6XT,0,6,12,TRUE,5.25
Gelid Solutions SpeedTouch6,0,6,30,TRUE,5.25
Kingwin FPX-003,0,4,8,FALSE,5.25
Scythe Kaze Master Flat II,0,4,36,FALSE,5.25
Aerocool Touch 2000,0,4,6,FALSE,
Aerocool V12XT,0,4,6,FALSE,
NZXT Sentry Mesh,0,5,30,FALSE,5.25
Aerocool Touch 2100,0,5,25,FALSE,
Aerocool Touch-1000,0,4,,FALSE,5.25
Lamptron CW611-B,0,6,36,FALSE,5.25
Lamptron FC-CM615-BK,0,6,15,FALSE,5.25
Aerocool Strike-X-X1000,0,5,25,FALSE,5.25
Aerocool X-Vision,0,5,0.008,FALSE,5.25
