name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999,Circumaural,"[6,75]",FALSE,FALSE,Open,Silver / Brown
HP HyperX Cloud II,77,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black / Red
Razer BlackShark V2 X,49.99,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",319.64,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black
Logitech Pro X,98.49,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
SteelSeries Arctis 1,34.95,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black
Beyerdynamic DT 770 PRO,159,Circumaural,"[5,35]",FALSE,FALSE,Closed,Gray
Razer BlackShark V2 Pro (2023),198,Circumaural,"[12,28]",TRUE,TRUE,Closed,Black
Logitech G733,133.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,White / Gray
HP HyperX Cloud,0,Circumaural,"[15,25]",TRUE,FALSE,Closed,Black / White
SteelSeries Arctis 1,74.89,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Corsair Virtuoso RGB,147.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,White
Sennheiser HD 820,1999.95,Circumaural,"[6,48]",FALSE,FALSE,Closed,Black
Logitech G432,36.5,Circumaural,"[20,20]",TRUE,FALSE,Closed,Black / Blue
Beyerdynamic DT990 Premium Limited-Edition,159,Circumaural,"[5,35]",FALSE,FALSE,Open,Black
Logitech G435,39.49,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Yellow
Corsair VOID RGB ELITE,74.99,Circumaural,"[20,30]",TRUE,TRUE,Closed,Black
Sony XM5,398,Circumaural,"[4,40]",TRUE,TRUE,Closed,Black
Astro A50 + Base Station,270.37,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black / Gold
SteelSeries Arctis Pro Wireless,429.99,Circumaural,"[10,40]",TRUE,TRUE,Closed,White
HP HyperX Cloud II,79.98,Circumaural,"[15,25]",TRUE,FALSE,Closed,Gunmetal
HP HyperX Cloud Stinger,19.88,Circumaural,"[18,23]",TRUE,FALSE,Closed,Black / Red
Sennheiser HD 560S,175,Circumaural,"[6,38]",FALSE,FALSE,Open,Black
Philips SHE7000WT/28,5.99,In Ear,"[8,23.5]",FALSE,FALSE,Closed,Pink / White
Razer Kraken Kitty,99.99,Circumaural,"[20,20]",TRUE,FALSE,Closed,Pink
Corsair VIRTUOSO RGB Wireless XT,208.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black / Silver
Corsair VOID RGB ELITE,79.99,Circumaural,"[20,30]",TRUE,TRUE,Closed,White
Final D8000,3799,Circumaural,,FALSE,FALSE,Closed,Black / Silver
Logitech PRO X 2 LIGHTSPEED,249.81,Circumaural,"[20,20]",TRUE,TRUE,Closed,White
MSI Immerse GH20,29.99,Circumaural,"[29,20]",TRUE,FALSE,Closed,Black
HP HyperX Cloud II,99.99,Circumaural,"[15,20]",TRUE,TRUE,Closed,Black / Red
SteelSeries Arctis Nova 7,159.99,Circumaural,"[20,22]",TRUE,TRUE,Closed,Black
Sennheiser HD 800 S,1379.23,Circumaural,"[4,51]",FALSE,FALSE,Open,Black / Silver
Audio-Technica ATH-M50x,149,Circumaural,"[15,28]",FALSE,FALSE,Closed,Black / Silver
Beyerdynamic DT 990 Pro 250,0,Circumaural,"[5,35]",FALSE,FALSE,Open,Black / Gray
HP HyperX Cloud Alpha,74.29,Circumaural,"[13,27]",TRUE,FALSE,Closed,Black / Red
Razer BlackShark V2 Pro,119.99,Circumaural,"[12,28]",TRUE,TRUE,Closed,Black
Razer Kraken V3 X,44.99,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black
Logitech Pro X,129.99,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Logitech G733,133.69,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Razer Barracuda Pro,217.74,Circumaural,"[20,20]",TRUE,TRUE,Closed,Black
Corsair HS80 RGB,119.99,Circumaural,"[20,40]",TRUE,TRUE,Closed,Black
Razer BlackShark V2,69.98,Circumaural,"[12,28]",TRUE,FALSE,Closed,Black / Green
HiFiMAN HE1000,1999,Circumaural,"[8,65]",FALSE,FALSE,Open,Silver / Brown
SteelSeries Arctis Pro,221.12,Circumaural,"[10,40]",TRUE,TRUE,Closed,Black
HP HyperX Cloud Alpha,149,Circumaural,"[15,21]",TRUE,TRUE,Closed,Black / Red
