name,price,capacity,price_per_gb,type,form_factor,interface
Samsung 980 Pro,137,2000,0.068,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,69.98,1000,0.07,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo Plus,117.59,2000,0.059,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro,80.53,1000,0.081,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,139.97,2000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,41,1000,0.041,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,57.99,2000,0.029,7200,3.5,SATA 6.0 Gb/s
Crucial P3,42.99,1000,0.043,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850X,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,104.99,2000,0.052,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,40.5,500,0.081,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,59.99,1000,0.06,SSD,2.5,SATA 6.0 Gb/s
Western Digital Black SN850X,278,4000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,44.99,1000,0.045,SSD,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,2068.86,16000,0.129,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M450,34.99,1000,0.035,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,64.98,1000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,87.99,2000,0.044,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,74.99,4000,0.019,5400,3.5,SATA 6.0 Gb/s
Crucial P5 Plus,53.99,1000,0.054,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,84.99,1000,0.085,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,89.99,2000,0.045,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,47,1000,0.047,SSD,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,999.99,8000,0.125,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,199.99,4000,0.05,SSD,2.5,SATA 6.0 Gb/s
Samsung 870 Evo,119.99,2000,0.06,SSD,2.5,SATA 6.0 Gb/s
Samsung 990 Pro,299.99,4000,0.075,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,114.99,2000,0.057,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,39.99,1000,0.04,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850X,69.98,1000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,479.99,4000,0.12,SSD,M.2-2280,M.2 PCIe 5.0 X4
Intel 750,2488.87,1200,2.074,SSD,PCIe,PCIe x4
Crucial P3,26.99,500,0.054,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,42.5,1000,0.043,7200,3.5,SATA 6.0 Gb/s
Crucial P3,79.98,2000,0.04,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 QVO,340.29,8000,0.043,SSD,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,48.96,1000,0.049,7200,3.5,SATA 6.0 Gb/s
Western Digital Gold,549.99,22000,0.025,7200,3.5,SATA 6.0 Gb/s
Samsung 980,59.99,1000,0.06,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,70.97,2000,0.035,SSD,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,204.99,4000,0.051,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,26.49,512,0.052,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC3000,122.13,2048,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,399,22000,0.018,7200,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,109.99,8000,0.014,5400,3.5,SATA 6.0 Gb/s
