name,style,switches,backlit,tenkeyless,connection_type,color
Corsair K60 RGB Pro,81.15,Cherry Viola,RGB,FALSE,Wired,Black
HP HyperX Alloy Core RGB,35.99,,RGB,FALSE,Wired,Black
Redragon K552,36.99,Outemu Blue,Red,TRUE,Wired,Black
Logitech G19s,809.06,,,FALSE,Wired,Black
Logitech K120,12.99,,,FALSE,Wired,Black
Microsoft Natural Desktop 7000,769.95,,,FALSE,Wireless,Black / Silver
Razer Huntsman Mini,99.99,Razer Purple Optical Clicky,RGB,TRUE,Wired,White
SteelSeries Apex Pro TKL,124.99,SteelSeries QX2 OmniPoint,RGB,TRUE,Wired,Black
Turtle Beach IMPACT 100,7.95,,,FALSE,Wired,Black / Red
Logitech G915 Lightspeed,186.99,Logitech GL Tactile,RGB,FALSE,Wireless,Black
Razer Huntsman Mini,92.99,Razer Red Optical Linear,RGB,TRUE,Wired,Black
Corsair K55 RGB PRO,49.88,,Multicolor,FALSE,Wired,Black
SteelSeries Apex Pro,192.99,OmniPoint Adjustable,RGB,FALSE,Wired,Black
Razer BlackWidow V3,80.48,Razer Green,RGB,TRUE,Wired,Black
Logitech G915 TKL,151.8,GL Tactile,RGB,TRUE,Wireless,Black
SteelSeries Apex 3 TKL RGB,34.99,,RGB,TRUE,Wired,Black
Corsair K100 RGB,202.99,Corsair OPX,RGB,FALSE,Wired,Black
Logitech G413 SE,49.99,Kailh LT Brown,White,TRUE,Wired,Black
G.Skill KM360,49.99,Cherry MX Red,White,TRUE,Wired,White
Logitech G715,181.99,GX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
HP HyperX Alloy Origins Core,79.98,HyperX Red,RGB,TRUE,Wired,Black
Corsair K70 RGB PRO,129.99,Cherry MX Red,RGB,FALSE,Wired,Black
Razer Huntsman Elite,250.04,Razer Purple,RGB,FALSE,Wired,Black
Corsair K65 60%,93.99,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Redragon S113,37.59,Outemu Brown,RGB,TRUE,Wired,Black
E-element Z88RGB81WRZ,34.99,Outemu Blue,Multicolor,TRUE,Wired,White
Logitech G213 PRODIGY,49.99,,RGB,FALSE,Wired,Black
Asus ROG Azoth,218.99,ROG NX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K582 SURARA,44.99,Outemu Red,RGB,FALSE,Wired,Black
Logitech G413 Carbon,60,Romer-G Tactile,Red,FALSE,Wired,Black
SteelSeries Apex 3,39.99,,RGB,FALSE,Wired,Black
