name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,44.99,"[4,3200]","[2,8]",2.812,Black / Yellow,10,16
Corsair Vengeance 32 GB,94.99,"[5,5600]","[2,16]",2.968,Black,12.857,36
Corsair Vengeance RGB Pro 32 GB,94.99,"[4,3600]","[2,16]",2.968,Black,10,18
G.Skill Trident Z5 RGB 32 GB,109.99,"[5,6000]","[2,16]",3.437,Black,12,36
Corsair Vengeance LPX 32 GB,79.98,"[4,3600]","[2,16]",2.499,Black / Yellow,10,18
G.Skill Trident Z5 RGB 64 GB,214.99,"[5,6400]","[2,32]",3.359,Black / Silver,10,32
Corsair Vengeance RGB Pro 16 GB,59.99,"[4,3200]","[2,8]",3.749,Black,10,16
Corsair Vengeance RGB 32 GB,119.39,"[5,6000]","[2,16]",3.731,White,12,36
G.Skill Ripjaws S5 32 GB,,"[5,6000]","[2,16]",,Black,10,30
G.Skill Ripjaws V 32 GB,64.98,"[4,3200]","[2,16]",2.031,Black,10,16
Corsair Vengeance RGB 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,13.333,40
Silicon Power GAMING 16 GB,30.89,"[4,3200]","[2,8]",1.931,Black / Gray,10,16
G.Skill Flare X5 32 GB,89.99,"[5,6000]","[2,16]",2.812,Black,12,36
Corsair Vengeance RGB Pro SL 32 GB,89.96,"[4,3600]","[2,16]",2.811,White / Black,10,18
Corsair Vengeance LPX 16 GB,44.99,"[4,3600]","[2,8]",2.812,Black,10,18
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"[5,6000]","[2,16]",3.75,Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"[5,6000]","[2,16]",3.281,White,10,30
G.Skill Flare X5 32 GB,99.99,"[5,6000]","[2,16]",3.125,Black,10,30
Corsair Vengeance 32 GB,109.99,"[5,6000]","[2,16]",3.437,Black,12,36
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,"[4,3200]","[2,8]",2.187,Black,10,16
G.Skill Trident Z5 RGB 32 GB,119.99,"[5,6400]","[2,16]",3.75,Black,10,32
Silicon Power GAMING 32 GB,50.97,"[4,3200]","[2,16]",1.593,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,10,30
G.Skill Ripjaws V 16 GB,49.99,"[4,3600]","[2,8]",3.124,Black,8.889,16
G.Skill Trident Z5 Neo 64 GB,204.99,"[5,6000]","[2,32]",3.203,Black / Silver,10,30
Corsair Vengeance LPX 32 GB,64.98,"[4,3200]","[2,16]",2.031,Black / Yellow,10,16
G.Skill Ripjaws V 64 GB,,"[4,3200]","[4,16]",,Black,8.75,14
Corsair Vengeance RGB Pro 16 GB,59.99,"[4,3200]","[2,8]",3.749,White,10,16
G.Skill Trident Z RGB 32 GB,77.99,"[4,3200]","[2,16]",2.437,Black,10,16
Corsair Vengeance 64 GB,169.99,"[5,5200]","[2,32]",2.656,Black,15.385,40
G.Skill Ripjaws S5 32 GB,87.99,"[5,6000]","[2,16]",2.75,Black,12,36
Kingston FURY Beast 16 GB,45.69,"[4,3200]","[2,8]",2.856,Black,10,16
Corsair Dominator Platinum 32 GB,1674.47,"[4,2666]","[4,8]",52.327,Black / Silver,11.253,15
Corsair Vengeance LPX 64 GB,117.99,"[4,3200]","[2,32]",1.844,Black / Yellow,10,16
Corsair Vengeance 16 GB,69.98,"[5,5200]","[2,8]",4.374,Black,15.385,40
Corsair Vengeance RGB 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,12,36
G.Skill Trident Z5 RGB 32 GB,139.99,"[5,7200]","[2,16]",4.375,Black,9.444,34
TEAMGROUP T-Force Delta RGB 16 GB,45.99,"[4,3600]","[2,8]",2.874,Black,10,18
G.Skill Ripjaws V 32 GB,79.98,"[4,3600]","[2,16]",2.499,Black,8.889,16
TEAMGROUP T-Force Vulcan Z 32 GB,60.99,"[4,3600]","[2,16]",1.906,Black,10,18
Corsair Vengeance RGB 64 GB,209.99,"[5,6000]","[2,32]",3.281,Black,13.333,40
Corsair Dominator Platinum RGB 32 GB,164.99,"[5,6200]","[2,16]",5.156,White,11.613,36
G.Skill Ripjaws V 16 GB,38.9,"[4,3200]","[2,8]",2.431,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,73.2,"[4,3600]","[2,16]",2.288,White,10,18
G.Skill Ripjaws 4 16 GB,,"[4,3000]","[2,8]",,Blue,10,15
G.Skill Trident Z RGB 16 GB,57.99,"[4,3600]","[2,8]",3.624,Black,10,18
G.Skill Ripjaws S5 32 GB,99.99,"[5,5600]","[2,16]",3.125,Black,10,28
Kingston FURY Beast 32 GB,59.99,"[4,3200]","[2,16]",1.875,Black,10,16
Corsair Vengeance 32 GB,114.99,"[5,6000]","[2,16]",3.593,Black / Gray,10,30
Silicon Power XPOWER Turbine 16 GB,31.97,"[4,3200]","[2,8]",1.998,Blue,10,16
Crucial Pro 32 GB,76.48,"[5,5600]","[2,16]",2.39,Black,16.429,46
Kingston FURY 128 GB,459.97,"[5,5600]","[4,32]",3.594,White,14.286,40
Corsair Vengeance 32 GB,99.99,"[5,5200]","[2,16]",3.125,Black,15.385,40
G.Skill Ripjaws S5 64 GB,199.99,"[5,6000]","[2,32]",3.125,Black,10,30
Corsair Vengeance 96 GB,339.99,"[5,6400]","[2,48]",3.542,Black,10,32
Kingston FURY Beast 16 GB,75.15,"[5,5200]","[2,8]",4.697,Black,15.385,40
TEAMGROUP T-Force Delta RGB 32 GB,75.98,"[4,3600]","[2,16]",2.374,Black,10,18
G.Skill Trident Z Royal 256 GB,1599,"[4,3600]","[8,32]",6.246,Gold,10,18
Silicon Power SP016GBLFU320B22 16 GB,28.99,"[4,3200]","[2,8]",1.812,,13.75,22
Kingston FURY Beast 32 GB,129.99,"[5,6000]","[2,16]",4.062,Black,12,36
Corsair Vengeance 32 GB,87.99,"[5,6000]","[2,16]",2.75,Black,12,36
G.Skill Flare X5 64 GB,199.99,"[5,6000]","[2,32]",3.125,Black,10,30
Corsair Vengeance RGB Pro 32 GB,89.99,"[4,3200]","[2,16]",2.812,Black,10,16
G.Skill Trident Z5 Neo 32 GB,109.99,"[5,6000]","[2,16]",3.437,Black,10,30
Crucial CT2K8G48C40U5 16 GB,45.99,"[5,4800]","[2,8]",2.874,Black,16.667,40
Corsair Dominator Platinum RGB 64 GB,324.99,"[5,6800]","[2,32]",5.078,Black,11.765,40
G.Skill Ripjaws V 32 GB,66.99,"[4,3600]","[2,16]",2.093,Black,10,18
Corsair Vengeance LPX 8 GB,24.99,"[4,2400]","[1,8]",3.124,Black / Yellow,13.333,16
Crucial Pro 32 GB,58.99,"[4,3200]","[2,16]",1.843,Black,13.75,22
TEAMGROUP T-Create Expert 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,10,30
Corsair Vengeance RGB 32 GB,124.99,"[5,6000]","[2,16]",3.906,Gray,10,30
