name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
Corsair RM850x (2021),134.99,ATX,gold,850,Full,Black
Corsair RM1000x (2021),169.99,ATX,gold,1000,Full,Black
Corsair RM850e (2023),119.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GX2,64.79,ATX,gold,600,false,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair CX650M (2021),69.99,ATX,bronze,650,Semi,Black
Thermaltake Smart,39.95,ATX,plus,500,false,
Corsair SF750,163.49,SFX,platinum,750,Full,
Corsair HX1200 Platinum,294.99,ATX,platinum,1200,Full,
Cooler Master MWE Gold 850 - V2,95.99,ATX,gold,850,Full,Black
Corsair RM850,124.99,ATX,gold,850,Full,White / Black
EVGA 600 GD,69.99,ATX,gold,600,false,Black
Thermaltake Smart,44.99,ATX,plus,600,false,
SeaSonic FOCUS Plus 650 Gold,89.99,ATX,gold,650,Full,
MSI MPG A650GF,106.99,ATX,gold,650,Full,Black
Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black
Asus ROG THOR 1600T Gaming,655.99,ATX,titanium,1600,Full,Silver / Black
Corsair CV650,,ATX,bronze,650,false,Black
Cooler Master V850 SFX GOLD,139.99,SFX,gold,850,Full,Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
Gigabyte UD850GM,114.99,ATX,gold,850,Full,Black
Gigabyte UD750GM,126.67,ATX,gold,750,Full,Black
Corsair AX1600i,609.99,ATX,titanium,1600,Full,
Silverstone HELA,621.99,ATX,,2050,Full,Black / White
Thermaltake Toughpower GF1 PE,106.66,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 GT,149.99,ATX,gold,1000,Full,Black
MSI MAG A550BN,58.68,ATX,bronze,550,false,Black
MSI A1000G PCIE5,169.99,ATX,gold,1000,Full,Black
MSI MAG A650BN,66.68,ATX,bronze,650,false,Black
Corsair CX750M (2021),79.99,ATX,bronze,750,Semi,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,171,ATX,gold,750,Full,Black
SeaSonic FOCUS GX,95.66,ATX,gold,750,Full,Black
EVGA 500 W1,66.14,ATX,plus,500,false,
MSI MPG A850G PCIE5,129.99,ATX,gold,850,Full,Black
Corsair SF1000L,149.99,SFX,gold,1000,Full,Black
Thermaltake Smart,54.95,ATX,plus,700,false,
Corsair CV550,,ATX,bronze,550,false,Black
EVGA SuperNOVA 650 GT,89.99,ATX,gold,650,Full,Black
Corsair RM750,109.99,ATX,gold,750,Full,White / Black
EVGA SuperNOVA 850 GT,124.99,ATX,gold,850,Full,Black
Gigabyte P750GM,,ATX,gold,750,Full,Black
Asus ROG Strix,145.24,ATX,gold,850,Full,White
Corsair HX1500i (2022),269.99,ATX,platinum,1500,Full,Black
SeaSonic PRIME TX-1000,284.99,ATX,titanium,1000,Full,Black
EVGA SuperNOVA 650 GM,114.99,SFX,gold,650,Full,Black
Lian Li SP850,121.22,SFX,gold,850,Full,White
EVGA 500 GD,74.99,ATX,gold,500,false,Black
NZXT C850 (2022),129.99,ATX,gold,850,Full,Black
Cooler Master V750 SFX GOLD,94.99,SFX,gold,750,Full,Black
Corsair HX1000i (2023),234.99,ATX,platinum,1000,Full,Black
Gigabyte UD1000GM,127.55,ATX,gold,1000,Full,Black
EVGA 400 N1,36.19,ATX,,400,false,
Apevia Prestige,66.98,ATX,gold,800,false,Black
Thermaltake Toughpower GF1 Snow - TT Premium,91.99,ATX,gold,750,Full,White
EVGA SuperNOVA 750 GT,109.99,ATX,gold,750,Full,Black
Corsair HX850,129.99,ATX,platinum,850,Full,Black
Asus ROG STRIX G,139.99,ATX,gold,1000,Full,Black
be quiet! Pure Power 12 M,119.9,ATX,gold,750,Full,Black
Corsair VS600 (2020),59.99,ATX,bronze,600,false,Black
SeaSonic FOCUS Plus 750 Gold,95.66,ATX,gold,750,Full,
MSI MPG A750GF,109.99,ATX,gold,750,Full,Black
EVGA 700 BR,74.98,ATX,bronze,700,false,
Thermaltake Toughpower Grand RGB,86.99,ATX,gold,750,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,84.99,ATX,gold,750,Full,Black
SeaSonic FOCUS PLUS 850 Gold,114.99,ATX,gold,850,Full,
Gigabyte P450B,82.23,ATX,bronze,450,false,Black
MSI MEG Ai1300P PCIE5,319.99,ATX,platinum,1300,Full,Black / Copper
Corsair RM650x (2021),129.99,ATX,gold,650,Full,Black
be quiet! Dark Power 13,269.89,ATX,titanium,1000,Full,Black
EVGA 600 W1,64.98,ATX,plus,600,false,
Thermaltake Toughpower GF1 Snow - TT Premium,107.98,ATX,gold,850,Full,White
Thermaltake Toughpower,87.44,ATX,gold,750,Semi,
Apevia CAPTAIN,31.99,ATX,,550,false,Black
Phanteks Revolt SFX,84.99,SFX,gold,650,Full,Black
Lian Li SP,114.99,SFX,gold,750,Full,Black
be quiet! Pure Power 12 M,139.9,ATX,gold,1000,Full,Black
EVGA 500 BR,66.99,ATX,bronze,500,false,
EVGA 700 GD,84.99,ATX,gold,700,false,Black
Phanteks AMP v2,139.99,ATX,gold,1000,Full,White
ADATA XPG CORE Reactor 850,104.99,ATX,gold,850,Full,Black
Corsair SF850L,129.99,SFX,gold,850,Full,Black
be quiet! Pure Power 12 M,134.9,ATX,gold,850,Full,Black
SeaSonic FOCUS GX,90.81,ATX,gold,650,Full,Black
Rosewill HIVE,66.98,ATX,bronze,750,Semi,
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Cooler Master V850 SFX GOLD,141.99,SFX,gold,850,Full,White
Gigabyte P-B,,ATX,bronze,650,false,Black
Asus TUF Gaming 1000G,164.86,ATX,gold,1000,Full,Black
be quiet! Pure Power 12 M,104.9,ATX,gold,650,Full,Black
Asus ROG THOR P2 Gaming,319.99,ATX,platinum,1200,Full,Silver / Black
NZXT C750 (2022),119.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 - TT Premium,79.99,ATX,gold,650,Full,Black
Thermaltake Toughpower GF3 TT Premium,154.99,ATX,gold,1000,Full,Black
