name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,6.97,3.5
Thermal Grizzly Kryonaut,11.34,1
Prolimatech PK-Zero,230,600
ARCTIC MX-4 2019 Edition,6.98,4
Thermal Grizzly Kryonaut Extreme,21.99,2
ARCTIC MX-6,7.99,4
Noctua NT-H1,8.94,3.5
Noctua NT-H2,12.95,3.5
Corsair TM30,6.99,3
Arctic Silver Ceramique 2 Tri-Linear,3.85,2.7
Thermal Grizzly Kryonaut,19,5.5
ARCTIC MX-6,5.99,2
Thermal Grizzly Conductonaut,12.89,1
Prolimatech PK-3 Nano Aluminum High-Grade,23.99,5
Gelid Solutions GC-Extreme,9.99,3.5
ARCTIC MX-4,,4
Noctua NT-H2,30.91,10
Thermal Grizzly Kryonaut,29.89,11.1
Corsair XTM50,14.99,5
ARCTIC MX-6,10.54,8
KINGPINcooling KPx,58.99,30
Corsair XTM70,19.98,3
Thermal Grizzly Hydronaut,10,3.9
Thermalright TF7,4.29,2
ARCTIC MX-4,37.9,20
Prolimatech PK-3 Nano Aluminum High-Grade,11.75,1.5
Cooler Master HTK-002,15.05,0.01
Prolimatech PK-3 Nano Aluminum High-Grade,45.99,30
Arctic Silver 5 High-Density Polysynthetic Silver,20.57,12
Prolimatech PK-Zero,95.58,300
Thermal Grizzly Aeronaut,8.15,3.9
ARCTIC MX-4,19.98,20
ARCTIC MX-4 2019,7.49,8
Cooler Master MasterGel Pro,,1.5
KINGPINcooling KPx,11.99,1
NZXT High-performance,29.98,15
Thermalright TF4,,1.5
"Innovation Cooling Diamond ""7 Carat""",10.99,1.5
KINGPINcooling KPx,31.99,10
Thermalright TF9,4.69,1.5
Deepcool Z5,,3
Thermaltake CL-O002-GROSGM-A,12.99,40
be quiet! DC1,45,3
Coollaboratory Liquid Pro,42.13,0.15
ARCTIC MX-5,18.03,2
Cooler Master IC ESSENTIAL E2,,3.5
Cooler Master IC ESSENTIAL E1,6.99,3.75
Cooler Master CryoFuze,6.99,2
NZXT High-performance,19.98,3
ARCTIC MX-2 2019 Edition,8.97,4
Thermalright TF9,5.59,2.9
StarTech HeatGrease,5.49,20
StarTech Metal Oxide,9.99,1.5
Cooler Master MasterGel Maker,12.99,1.5
Coollaboratory Liquid Ultra,12.27,0.15
Deepcool Z3,,1.5
Cooler Master CryoFuze Violet,,2
ARCTIC MX-2,,65
EK EK-TIM Ectotherm,20.41,5
Arctic Silver Ceramique 2 Tri-Linear,13.49,25
ARCTIC MX-5,,4
TUNIQ TX-4 Extreme Performance,12.99,1
Thermaltake CL-O004-GROSGM-A,7.99,4
Thermalright TF8,,2
