name,price,resolutions,connection,focus_type,os,fov
Logitech BRIO Ultra HD Pro,124.99,"[""4k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-A,Auto,"[""Windows"",""OS X"",""ChromeOS""]",82
Razer Kiyo Pro Ultra,299.99,"[""4k"",""2k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-A,Auto,"[""Windows""]",82
Insta360 Insta360 Link,299.99,"[""4k"",""1080p"",""720p""]",USB 2.0 Type-C,Auto,"[""Windows"",""OS X""]",79.5
Logitech C920 HD Pro,60,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""ChromeOS"",""Android""]",78
Elgato Facecam Pro,299.99,"[""4k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-C,Auto,"[""Windows"",""OS X""]",90
Logitech C270,19.89,"[""720p""]",USB 2.0 Type-A,Fixed,"[""Windows"",""OS X"",""ChromeOS"",""Android""]",60
Anker PowerConf C200,59.99,"[""2k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-C,Auto,"[""Windows"",""OS X""]",95
Green Extreme T200,9.99,"[""1080p"",""720p"",""480p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Android""]",65
Razer Kiyo,48.97,"[""1080p"",""720p"",""480p""]",USB 2.0 Type-A,Auto,"[""Windows""]",81.6
Logitech C920s HD Pro,59.99,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""ChromeOS"",""Android""]",78
Logitech C922 Pro Stream HD,99.99,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""ChromeOS"",""Android""]",78
Elgato Facecam Premium,129.99,"[""1080p"",""720p""]",USB 3.2 Gen 1 Type-A,Manual,"[""Windows"",""OS X""]",82
Razer Kiyo Pro,89.99,"[""1080p"",""720p"",""480p""]",USB 3.2 Gen 1 Type-A,Auto,"[""Windows""]",103
Logitech C910,119.99,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X""]",78
Logitech C925e,67.17,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Linux""]",78
aoni A31,21.95,"[""1080p"",""720p"",""480p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Linux"",""ChromeOS"",""Android""]",84
Anker B600 Video Bar,199.99,"[""2k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-C,Auto,"[""Windows"",""OS X""]",95
Adesso Cybertrack H4,34.25,"[""1080p""]",USB 2.0 Type-A,Manual,"[""Windows"",""OS X""]",78
Razer Kiyo X,49.9,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows""]",82
Adesso Cybertrack H6,61.35,"[""4k""]",USB 2.0 Type-A,Fixed,"[""Windows"",""OS X""]",80
Logitech StreamCam,129.99,"[""1080p"",""720p""]",USB 3.2 Gen 1 Type-C,Auto,"[""Windows"",""OS X""]",78
Avermedia PW513,100.99,"[""4k"",""1080p""]",USB 3.2 Gen 1 Type-C,Fixed,"[""Windows"",""OS X""]",94
Asus Webcam C3,68.4,"[""1080p""]",USB 2.0 Type-A,,"[""Windows"",""OS X"",""ChromeOS""]",
Logitech StreamCam,124.25,"[""1080p"",""720p""]",USB 3.2 Gen 1 Type-C,Auto,"[""Windows"",""OS X""]",78
