name,price,interface,color
TP-Link TG-3468,14.99,PCIe x1,
Asus XG-C100C,86.18,PCIe x4,
Intel E1G44ET2BLK,392.21,PCIe x4,
TP-Link TX201,26.99,PCIe x1,Black / Gold
Intel X550-T2,263,PCIe x4,
StarTech ST1000SPEX42,344,PCIe x4,
Intel EXPI9301CTBLK,59.8,PCIe x1,
TP-Link TX401,99.99,PCIe x4,Red
Intel X520-DA1,129.94,PCIe x8,Green
Intel E1G42ETBLK,51,PCIe x4,
Intel X540-BT2,,PCIe x8,
Gigabyte GC-AQC107,,PCIe x4,Black / White
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapte,90.14,PCIe x4,Green / Silver
Intel X710-T2L,314.28,PCIe x8,Green / Black
TP-Link UE300,10.99,USB Type-A 3.2 Gen 1,
Intel E10G42BT,,PCIe x8,
Syba SY-ADA24029,,USB Type-A 2.0,
Syba SI-PEX24042,46.78,PCIe x1,Green / Black
Intel E1G44HTBLK,87,PCIe x4,
TRENDnet TEG-25GECTX,27.99,PCIe x1,Blue
Intel EXPI9301CT,58.99,PCIe x1,
Intel E1G44HT,124.5,PCIe x4,
Intel EXPI9402PTG2P20,69.61,PCIe x4,Green / Black
QNAP QXG-10G1T,154.99,PCIe x4,
QNAP QXG5G1T111C,89,PCIe x1,Blue / Silver
Rosewill RNG-408U,12.79,USB Type-C 3.2 Gen 1,Black
Intel EXPI9402PTBLK-1PK,,PCIe x4,
TRENDnet TUC-ET2G,27.99,USB Type-C 3.2 Gen 1,Black
Intel EXPI9404PTLBLK-1PK,,PCIe x4,
Intel EXPI9404PTLBLK,,PCIe x4,
StarTech ST1000SPEX4,345.99,PCIe x4,
Belkin F5D5000,9.27,PCI,
Intel X520-T2,,PCIe x8,Green / Black
QNAP QXG-2G1T-I225,43.61,PCIe x1,Green / Silver
Edimax EU-4208,10.99,USB Type-A 2.0,
Supermicro AOC-STG-i2T,369,PCIe x8,
QLogic QLE3242-CU-CK,,PCIe x8,
Syba SY-PEX24028,37.99,PCIe x1,
Linksys USB3GIG,,USB Type-A 3.2 Gen 1,Black
Syba SD-PEX24009,16.39,PCIe x1,
StarTech ST2000PEXPSE,153.99,PCIe x1,
EDUP EP-9602GS,,PCIe x1,Black
QNAP QXG2G2TI225,77.27,PCIe x2,Green / Copper
Syba SD-PEX24055,89.99,PCIe x4,Green / Black
StarTech ST1000SPEX2,18.57,PCIe x1,
StarTech ST10GSPEXNB,125.55,PCIe x4,Black
Syba SY-HUB24047,56.23,USB Type-A 3.2 Gen 1,Black
StarTech ST1000BT32,13.56,PCI,
StarTech USB32000SPT,62.34,USB Type-A 3.2 Gen 1,
StarTech ST10000SPEX,,PCIe x4,
D-Link DXE-820T,,PCIe x8,
Rosewill RC-NIC416Dual,,PCIe x4,Black / Silver
Syba SY-PEX24045,99.99,PCIe x4,Green / Black
Lenovo 7ZT7A00482,125.85,PCIe x1,Green / Black
StarTech PEX100S,19.89,PCIe x1,
StarTech ST10GSPEXNB2,168.99,PCIe x2,Silver / Black
StarTech USB21000S2,49.99,USB Type-A 2.0,
